Mouse Cage ,Mouse Number,Tag,Strain,Diet,Week,PercBWincrease,BW_Average,Food_Mass,Food_Avg,Ingest_bymouse,Glucose,Trig,NEFA,BCAA,Insulin
1,1,RE,C57BL/6J,Chow,0,26,29,NA,NA,NA,133,58.14895,0.70304,0.39658,
1,2,NT,C57BL/6J,Chow,0,26.9,29,NA,NA,NA,127,57.8642,0.34156,2.00428,
2,3,NT,C57BL/6J,Chow,0,32.6,29,NA,NA,NA,138,82.06795,0.38876,0.41407,
2,4,RE,C57BL/6J,Chow,0,29,29,NA,NA,NA,139,23.1247,0.21042,0.43157,
2,5,LE,C57BL/6J,Chow,0,28.8,29,NA,NA,NA,114,77.2272,0.44074,0.3091,
2,6,RLE,C57BL/6J,Chow,0,30.4,29,NA,NA,NA,136,76.37295,0.25492,0.37131,
3,7,NT,C57BL/6J,Chow,0,29.3,29,NA,NA,NA,135,38.5012,0.29212,0.23717,
4,8,NT,C57BL/6J,American,0,29.5,28.8125,NA,NA,NA,142,36.7927,0.50224,0.34603,
4,9,RE,C57BL/6J,American,0,27.2,28.8125,NA,NA,NA,205,29.3892,0.33384,0.23523,
4,10,LE,C57BL/6J,American,0,29.4,28.8125,NA,NA,NA,196,89.7562,0.47772,0.05249,
4,11,RLE,C57BL/6J,American,0,25.5,28.8125,NA,NA,NA,143,75.23395,0.48644,0.3577,
5,12,NT,C57BL/6J,American,0,30.8,28.8125,NA,NA,NA,176,45.05045,0.28776,1.1528,
5,13,RE,C57BL/6J,American,0,27.4,28.8125,NA,NA,NA,126,41.3487,0.59026,0.22939,
5,14,LE,C57BL/6J,American,0,31.4,28.8125,NA,NA,NA,169,51.88445,0.28569,0.70956,
5,15,RLE,C57BL/6J,American,0,29.3,28.8125,NA,NA,NA,127,58.71845,0.28696,0.38686,
6,16,NT,C57BL/6J,Mediterranean,0,28.2,28.0125,NA,NA,NA,179,17.4297,0.1891,0.30132,
6,17,RE,C57BL/6J,Mediterranean,0,26.2,28.0125,NA,NA,NA,158,29.67395,0.3149,0.59487,
6,18,LE,C57BL/6J,Mediterranean,0,25.2,28.0125,NA,NA,NA,98,31.0977,0.55766,0.44129,NA
6,19,RLE,C57BL/6J,Mediterranean,0,31.9,28.0125,NA,NA,NA,127,48.7522,0.33354,0.243,
7,20,NT,C57BL/6J,Mediterranean,0,27.5,28.0125,NA,NA,NA,158,76.6577,0.33238,0.74844,
7,21,RE,C57BL/6J,Mediterranean,0,28.7,28.0125,NA,NA,NA,127,51.31495,0.3393,0.69401,
7,22,LE,C57BL/6J,Mediterranean,0,27.7,28.0125,NA,NA,NA,142,31.95195,0.2595,0.486,
7,23,RLE,C57BL/6J,Mediterranean,0,28.7,28.0125,NA,NA,NA,127,51.5997,0.19966,0.43157,
8,24,NT,C57BL/6J,Vegetarian,0,30.1,28.41428571,NA,NA,NA,189,NA,NA,NA,NA
8,25,RE,C57BL/6J,Vegetarian,0,29,28.41428571,NA,NA,NA,136,30.81295,0.17094,0.66485,
8,26,LE,C57BL/6J,Vegetarian,0,30,28.41428571,NA,NA,NA,216,4.9007,0.16588,0.6007,
9,27,NT,C57BL/6J,Vegetarian,0,26.9,28.41428571,NA,NA,NA,174,85.7697,0.501,0.49961,
9,28,RE,C57BL/6J,Vegetarian,0,27.4,28.41428571,NA,NA,NA,132,55.30145,0.62636,0.33437014,
9,29,LE,C57BL/6J,Vegetarian,0,26.8,28.41428571,NA,NA,NA,106,102.2852,0.39002,0.563763608,
