Mouse Cage ,Mouse Number,Tag,Date of Birth,Sex,Date Started on Diet,Notes,Strain,Diet,Body Weight (g),Glucose (mg/dL),Triglycerides (mg/dL),NEFA (mM),BCAA (mM),Insulin (ng/mL),
1,1,RE,04/09/19,M,07/22/19,,C57BL/6J,Regular Chow,23.9 + ~2g,156,,,,,
1,2,NT,04/09/19,M,07/22/19,,C57BL/6J,Regular Chow,29.1,151,,,,,
2,3,NT,04/09/19,M,07/22/19,,C57BL/6J,Regular Chow,34.2,125,,,,,
2,4,RE,04/09/19,M,07/22/19,,C57BL/6J,Regular Chow,29,94,,,,,
2,5,LE,04/09/19,M,07/22/19,,C57BL/6J,Regular Chow,31.7,139,,,,,
2,6,RLE,04/09/19,M,07/22/19,,C57BL/6J,Regular Chow,30.6,146,,,,,
3,7,NT,04/09/19,M,07/22/19,,C57BL/6J,Regular Chow,30.7,121,,,,,
4,8,NT,04/09/19,M,07/24/19,,C57BL/6J,American,46.6,151,,,,,
4,9,RE,04/09/19,M,07/24/19,,C57BL/6J,American,44.8,139,,,,,
4,10,LE,04/09/19,M,07/24/19,,C57BL/6J,American,44.5,135,,,,,
4,11,RLE,04/09/19,M,07/24/19,,C57BL/6J,American,44.7,120,,,,,
5,12,NT,04/09/19,M,07/24/19,,C57BL/6J,American,47.6,150,,,,,
5,13,RE,04/09/19,M,07/24/19,,C57BL/6J,American,47.1,145,,,,,
5,14,LE,04/09/19,M,07/24/19,,C57BL/6J,American,47.1,203,,,,,
5,15,RLE,04/09/19,M,07/24/19,,C57BL/6J,American,45.8,177,,,,,
6,16,NT,04/09/19,M,07/24/19,,C57BL/6J,Mediterranean,33.2,162,,,,,
6,17,RE,04/09/19,M,07/24/19,,C57BL/6J,Mediterranean,33.2,142,,,,,
6,18,LE,04/09/19,M,07/24/19,DEAD; died during restraint on TP4,C57BL/6J,Mediterranean,NA,NA,NA,NA,NA,NA,
6,19,RLE,04/09/19,M,07/24/19,,C57BL/6J,Mediterranean,44.7,136,,,,,
7,20,NT,04/09/19,M,07/24/19,,C57BL/6J,Mediterranean,43.1,131,,,,,
7,21,RE,04/09/19,M,07/24/19,,C57BL/6J,Mediterranean,43.5,143,,,,,
7,22,LE,04/09/19,M,07/24/19,,C57BL/6J,Mediterranean,47,138,,,,,
7,23,RLE,04/09/19,M,07/24/19,,C57BL/6J,Mediterranean,43.5,132,,,,,
8,24,NT,04/09/19,M,07/25/19,DEAD,C57BL/6J,Vegetarian,NA,NA,NA,NA,NA,NA,
8,25,RE,04/09/19,M,07/25/19,,C57BL/6J,Vegetarian,39.5,125,,,,,
8,26,LE,04/09/19,M,07/25/19,,C57BL/6J,Vegetarian,38.3,135,,,,,
9,27,NT,04/09/19,M,07/25/19,,C57BL/6J,Vegetarian,41.9,173,,,,,
9,28,RE,04/09/19,M,07/25/19,,C57BL/6J,Vegetarian,45.2,133,,,,,
9,29,LE,04/09/19,M,07/25/19,,C57BL/6J,Vegetarian,45.6,133,,,,,
10,30,NT,04/09/19,M,07/25/19,,C57BL/6J,Vegetarian,38.7,143,,,,,
11,31,NT,04/09/19,M,07/25/19,,C57BL/6J,Vegan,42.5,159,,,,,
58,32,RE,04/09/19,M,07/25/19,,C57BL/6J,Vegan,34.2,143,,,,,
11,33,LE,04/09/19,M,07/25/19,,C57BL/6J,Vegan,39.8,129,,,,,
11,34,RLE,04/09/19,M,07/25/19,,C57BL/6J,Vegan,31.1,122,,,,,
12,35,NT,04/09/19,M,07/25/19,,C57BL/6J,Vegan,40.3,174,,,,,
12,36,RE,04/09/19,M,07/25/19,,C57BL/6J,Vegan,41.9,171,,,,,
12,37,LE,04/09/19,M,07/25/19,,C57BL/6J,Vegan,38.1,129,,,,,
12,38,RLE,04/09/19,M,07/25/19,,C57BL/6J,Vegan,35.6,161,,,,,
13,39,NT,04/16/19,M,07/29/19,,A/J,Regular Chow,31.4,106,,,,,
13,40,RE,04/16/19,M,07/29/19,,A/J,Regular Chow,31.3,117,,,,,
13,41,LE,04/16/19,M,07/29/19,DEAD (TP8),A/J,Regular Chow,NA,NA,NA,NA,NA,NA,
13,42,RLE,04/16/19,M,07/29/19,,A/J,Regular Chow,29.5,143,,,,,
14,43,NT,04/16/19,M,07/29/19,,A/J,Regular Chow,27.5,108,,,,,
14,44,RE,04/16/19,M,07/29/19,DEAD - Euthanized for Low Mass,A/J,Regular Chow,NA,NA,NA,NA,NA,NA,
14,45,LE,04/16/19,M,07/29/19,,A/J,Regular Chow,25,87,,,,,
14,46,RLE,04/16/19,M,07/29/19,,A/J,Regular Chow,30.5,103,,,,,
15,47,NT,04/16/19,M,07/29/19,,A/J,American,36.8,122,,,,,
15,48,RE,04/16/19,M,07/29/19,,A/J,American,NA,119,,,,,
15,49,LE,04/16/19,M,07/29/19,,A/J,American,45.8,118,,,,,
15,50,RLE,04/16/19,M,07/29/19,,A/J,American,34.3,120,,,,,
16,51,NT,04/16/19,M,07/29/19,,A/J,American,30.2,106,,,,,
16,52,RE,04/16/19,M,07/29/19,,A/J,American,25.7,135,,,,,
16,53,LE,04/16/19,M,07/29/19,,A/J,American,35.9,109,,,,,
16,54,RLE,04/16/19,M,07/29/19,,A/J,American,35.6,142,,,,,
17,55,NT,04/16/19,M,07/30/19,,A/J,Mediterranean,31.9,141,,,,,
17,56,RE,04/16/19,M,07/30/19,,A/J,Mediterranean,30,130,,,,,
17,57,LE,04/16/19,M,07/30/19,,A/J,Mediterranean,24.7,119,,,,,
17,58,RLE,04/16/19,M,07/30/19,,A/J,Mediterranean,31.2,120,,,,,
18,59,NT,04/16/19,M,07/30/19,,A/J,Mediterranean,34.5,132,,,,,
18,60,RE,04/16/19,M,07/30/19,,A/J,Mediterranean,37.3,129,,,,,
18,61,LE,04/16/19,M,07/30/19,,A/J,Mediterranean,34.7,132,,,,,
18,62,RLE,04/16/19,M,07/30/19,,A/J,Mediterranean,29.3,125,,,,,
19,63,NT,04/16/19,M,07/30/19,,A/J,Vegetarian,30.1,109,,,,,
19,64,RE,04/16/19,M,07/30/19,,A/J,Vegetarian,30.5,113,,,,,
19,65,LE,04/16/19,M,07/30/19,,A/J,Vegetarian,37.8,138,,,,,
19,66,RLE,04/16/19,M,07/30/19,,A/J,Vegetarian,30.3,116,,,,,
20,67,NT,04/16/19,M,07/30/19,,A/J,Vegetarian,31.7,121,,,,,
20,68,RE,04/16/19,M,07/30/19,,A/J,Vegetarian,31,121,,,,,
20,69,LE,04/16/19,M,07/30/19,,A/J,Vegetarian,33.9,135,,,,,
20,70,RLE,04/16/19,M,07/30/19,,A/J,Vegetarian,31.2,138,,,,,
21,71,NT,04/16/19,M,07/31/19,,A/J,Vegan,29.7,148,,,,,
21,72,RE,04/16/19,M,07/31/19,,A/J,Vegan,32.7,130,,,,,
21,73,LE,04/16/19,M,07/31/19,,A/J,Vegan,33.2,120,,,,,
21,74,RLE,04/16/19,M,07/31/19,,A/J,Vegan,28.9,112,,,,,
22,75,NT,04/16/19,M,07/31/19,,A/J,Vegan,33.1,144,,,,,
22,76,RE,04/16/19,M,07/31/19,,A/J,Vegan,28.1,108,,,,,
22,77,LE,04/16/19,M,07/31/19,,A/J,Vegan,32.3,120,,,,,
22,78,RLE,04/16/19,M,07/31/19,,A/J,Vegan,25.4,126,,,,,
23,79,NT,04/23/19,M,07/31/19,,DBA/2J,Regular Chow,37,123,,,,,
23,80,RE,04/23/19,M,07/31/19,,DBA/2J,Regular Chow,33,138,,,,,
23,81,LE,04/23/19,M,07/31/19,,DBA/2J,Regular Chow,27.2,134,,,,,
24,82,NT,04/23/19,M,07/31/19,,DBA/2J,Regular Chow,32.6,104,,,,,
24,83,RE,04/23/19,M,07/31/19,,DBA/2J,Regular Chow,25.9,118,,,,,
24,84,LE,04/23/19,M,07/31/19,,DBA/2J,Regular Chow,41,142,,,,,
24,85,RLE,04/23/19,M,07/31/19,,DBA/2J,Regular Chow,30.8,96,,,,,
25,86,NT,04/23/19,M,08/01/19,,DBA/2J,American,44.8,133,,,,,
25,87,RE,04/23/19,M,08/01/19,,DBA/2J,American,51.4,158,,,,,
